NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                                                                                                     ,TIPO DE ESTABELECIMENTO                ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                          ,NUMERO  ,BAIRRO          ,CEP
"ARABI AUTOMÓVEIS- LOJA DE CARROS SEMINOVOS, NOVOS E USADOS - COMPRA, VENDE, TROCAR, FINANCIA" ,"4,2"                              ,(15)                                    ,"AV. CARLOS BURLAMARQUI, 637 - CENTRO, ARACAJU - SE, 49010-660"                                                                                                       ,REVENDEDORA DE CARROS USADOS           ,(79) 3211-2650             ,AV. CARLOS BURLAMARQUI              ,637     ,CENTRO          ,49010-660
SAMAM FIAT RIOMAR                                                                              ,"4,4"                              ,(329)                                   ,"AV. MARIO JORGE MENEZES VIÊIRA, 600 - COROA DO MEIO, ARACAJU - SE, 49035-660"                                                                                        ,CONCESSIONÁRIA                         ,(79) 3194-1800             ,AV. MARIO JORGE MENEZES VIÊIRA      ,600     ,COROA DO MEIO   ,49035-660
PEDRINHO AUTOMOVÉIS                                                                            ,"4,7"                              ,(23)                                    ,"AV. CARLOS BURLAMARQUI, 731 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,CONCESSIONÁRIA                         ,(79) 3222-7332             ,AV. CARLOS BURLAMARQUI              ,731     ,GETÚLIO VARGAS  ,49055-150
FOFÃO MULTIMARCAS                                                                              ,"4,9"                              ,(14)                                    ,"AV. PEDRO CALAZANS, 300 - GETÚLIO VARGAS, ARACAJU - SE, 49055-220"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 99988-4399            ,AV. PEDRO CALAZANS                  ,300     ,GETÚLIO VARGAS  ,49055-220
PRIMECAR AUTOMÓVEIS                                                                            ,"4,6"                              ,(12)                                    ,"AV. COELHO E CAMPOS, 649 - CENTRO, ARACAJU - SE, 49010-720"                                                                                                          ,REVENDEDORA DE CARROS USADOS           ,(79) 99988-0164            ,AV. COELHO E CAMPOS                 ,649     ,CENTRO          ,49010-720
ADRIANO VEICULOS                                                                               ,"5,0"                              ,(3)                                     ,"ROD. DOS NÁUFRAGOS - ROBALO, ARACAJU - SE, 49039-000"                                                                                                                ,REVENDEDORA DE CARROS USADOS           ,(79) 99841-8176            ,ROD. DOS NÁUFRAGOS - ROBALO         ,ARACAJU ,ROBALO          ,49039-000
SANVEL NISSAN                                                                                  ,"4,5"                              ,(639)                                   ,"AV. PRES. TANCREDO NEVES, 640 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                    ,CONCESSIONÁRIA NISSAN                  ,(79) 3215-4900             ,AV. PRES. TANCREDO NEVES            ,640     ,JARDINS         ,49025-620
CIMAVEL SEMINOVOS                                                                              ,"4,3"                              ,(803)                                   ,"AV. OVIEDO TEIXEIRA, 1001 - JARDINS, ARACAJU - SE, 49026-100"                                                                                                        ,CONCESSIONÁRIA FORD                    ,(79) 3045-2500             ,AV. OVIEDO TEIXEIRA                 ,1001    ,JARDINS         ,49026-100
EXCLUSIVE MULTIMARCAS - CARRO DE QUALIDADE ENCONTRA AKI                                        ,"4,8"                              ,(8)                                     ,"AV. COELHO E CAMPOS, 842 - SANTO ANTÔNIO, ARACAJU - SE, 49030-000"                                                                                                   ,AGENTE COMERCIAL DE CARROS             ,(79) 99998-3520            ,AV. COELHO E CAMPOS                 ,842     ,SANTO ANTÔNIO   ,49030-000
GT AUTOMÓVEIS ARACAJU                                                                          ,"5,0"                              ,(11)                                    ,"AV. CARLOS BURLAMARQUI, 716 - CENTRO, ARACAJU - SE, 49055-150"                                                                                                       ,REVENDEDORA DE CARROS USADOS           ,(79) 99661-2533            ,AV. CARLOS BURLAMARQUI              ,716     ,CENTRO          ,49055-150
CLASSE A AUTOMÓVEIS                                                                            ,"4,3"                              ,(11)                                    ,"AV. COELHO E CAMPOS, 784 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 98855-1010            ,AV. COELHO E CAMPOS                 ,784     ,SANTO ANTÔNIO   ,49060-000
MGM AUTOMÓVEIS                                                                                 ,"4,9"                              ,(13)                                    ,"AV. PEDRO CALAZANS, 621 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,REVENDEDORA DE CARROS USADOS           ,(79) 99907-7731            ,AV. PEDRO CALAZANS                  ,621     ,CENTRO          ,49010-490
UNIĀO VEÍCULOS                                                                                 ,"4,3"                              ,(6)                                     ,"R. BASÍLIO ROCHA - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                          ,CONCESSIONÁRIA                         ,(79) 99801-1908            ,R. BASÍLIO ROCHA - GETÚLIO VARGAS   ,ARACAJU ,GETÚLIO VARGAS  ,49055-110
JONATAS AUTOMOVEIS                                                                             ,"4,9"                              ,(14)                                    ,"AV. CARLOS BURLAMARQUI, 759 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,CONCESSIONÁRIA DE VEÍCULOS MOTORIZADOS ,(79) 99991-7782            ,AV. CARLOS BURLAMARQUI              ,759     ,GETÚLIO VARGAS  ,49055-150
MARDISA AUTOMÓVEIS MERCEDES-BENZ - ARACAJU SE                                                  ,"4,9"                              ,(152)                                   ,"AV. PRES. TANCREDO NEVES, 5033 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,CONCESSIONÁRIA MERCEDES-BENZ           ,(79) 3225-8740             ,AV. PRES. TANCREDO NEVES            ,5033    ,JABOTIANA       ,49095-000
ULTRA VEICULOS                                                                                 ,"4,9"                              ,(11)                                    ,"AV. COELHO E CAMPOS, 741 - 18 DO FORTE, ARACAJU - SE, 49060-000"                                                                                                     ,CONCESSIONÁRIA                         ,(79) 99882-1515            ,AV. COELHO E CAMPOS                 ,741     ,18 DO FORTE     ,49060-000
HYUNDAI HMB TERRA SANTA ARACAJU SE                                                             ,"4,9"                              ,(1.854)                                 ,"AV. MINISTRO GERALDO BARRETO SOBRAL, 246 - GRAGERU, ARACAJU - SE, 49026-010"                                                                                         ,CONCESSIONÁRIA HYUNDAI                 ,(79) 4003-0161             ,AV. MINISTRO GERALDO BARRETO SOBRAL ,246     ,GRAGERU         ,49026-010
ZECA AUTOMÓVEIS                                                                                ,"4,8"                              ,(13)                                    ,"AV. COELHO E CAMPOS, 1187 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,CONCESSIONÁRIA                         ,(79) 99900-4635            ,AV. COELHO E CAMPOS                 ,1187    ,SANTO ANTÔNIO   ,49060-000
AUTOS AJU SEMINOVOS                                                                            ,"4,3"                              ,(9)                                     ,"AV. PEDRO CALAZANS, 107 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,REVENDEDORA DE CARROS USADOS           ,(79) 99911-6839            ,AV. PEDRO CALAZANS                  ,107     ,CENTRO          ,49010-490
GALEGUINHO VEÍCULOS                                                                            ,"4,3"                              ,(3)                                     ,"AV. CARLOS BURLAMARQUI, 1047 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                              ,REVENDEDORA DE CARROS USADOS           ,(79) 3215-1489             ,AV. CARLOS BURLAMARQUI              ,1047    ,GETÚLIO VARGAS  ,49055-150
