NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
"TOYOLEX TOYOTA - ARACAJU SE: CONCESSIONÁRIA, CARROS NOVOS E SEMINOVOS"                        ,"4,5"                              ,(1.953)                                 ,"AV. PRES. TANCREDO NEVES, 5121 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,Concessionária Toyota                  ,(79) 3225-8787
SAMAM VEÍCULOS - JEEP                                                                          ,"4,6"                              ,(105)                                   ,"R. BASÍLIO ROCHA, 89 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,Concessionária Jeep                    ,(79) 3512-0385
GAMA PEUGEOT                                                                                   ,"4,3"                              ,(296)                                   ,"AV. PRES. TANCREDO NEVES, 3402 - PONTO NOVO, ARACAJU - SE, 49095-000"                                                                                                ,Concessionária Peugeot                 ,(79) 2106-9600
SERIGY AUTOMÓVEIS                                                                              ,"4,0"                              ,(4)                                     ,"AV. PRES. TANCREDO NEVES, 1016 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária                         ,(79) 99606-1001
CARVEL MULTIMARCAS                                                                             ,"4,8"                              ,(15)                                    ,"AV. PEDRO CALAZANS, N°50 - CENTRO, ARACAJU - SE, 49055-520"                                                                                                          ,Concessionária de veículos motorizados ,(79) 3021-0003
ELITE VEÍCULOS                                                                                 ,"5,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 833 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                  ,Concessionária                         ,(79) 99888-3293
LÉO AUTOMÓVEIS                                                                                 ,"5,0"                              ,(3)                                     ,"AV. COELHO E CAMPOS, 818 - 18 DO FORTE, ARACAJU - SE, 49010-490"                                                                                                     ,Revendedora de carros usados           ,(79) 99935-7654
VILA NOVA VEÍCULOS                                                                             ,"5,0"                              ,(1)                                     ,"R. ARMINDO GUARANÁ, 78 - SANTO ANTÔNIO, ARACAJU - SE, 49060-030"                                                                                                     ,Revendedora de carros usados           ,(79) 99684-8677
AUTO MAIS VEÍCULOS                                                                             ,"2,6"                              ,(5)                                     ,"AV. DEP. AIRTON TÉLES, 816 - SANTO ANTÔNIO, ARACAJU - SE, 49060-120"                                                                                                 ,Revendedora de carros usados           ,(79) 99820-1343
KLEBER AUTOMÓVEIS                                                                              ,"5,0"                              ,(1)                                     ,"AV. CARLOS BURLAMARQUI, 757 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Revendedora de carros usados           ,(79) 99892-1299
RODRIGUES SEMINOVOS                                                                            ,"4,3"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 716 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,(79) 99866-7462
SERGIPE VEÍCULOS COMERCIAIS                                                                    ,"5,0"                              ,(3)                                     ,"R. BASÍLIO ROCHA, 38 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,Concessionária                         ,(79) 3279-3200
UNIĀO VEÍCULOS                                                                                 ,"4,3"                              ,(6)                                     ,"R. BASÍLIO ROCHA - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                          ,Concessionária                         ,(79) 99801-1908
DNC VEÍCULOS SEMINOVOS                                                                         ,"3,7"                              ,(9)                                     ,"AV. SÃO PAULO, 817 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-530"                                                                                                       ,Loja                                   ,(79) 99872-7224
ZOMINHO AUTOMÓVEIS                                                                             ,"4,3"                              ,(6)                                     ,"AV. PEDRO CALAZANS, 230 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Concessionária                         ,(79) 3205-1666
PADRÃO AUTOMÓVEIS                                                                              ,"5,0"                              ,(2)                                     ,"PRAÇA DOS EXPEDICIONÁRIOS, 1146 - GETÚLIO VARGAS, ARACAJU - SE, 49055-280"                                                                                           ,Concessionária                         ,(79) 99836-8089
AUTO PARVI - TOYOLEX - ARACAJU SE                                                              ,"4,1"                              ,(16)                                    ,"AV. PRES. TANCREDO NEVES, 5121 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,Concessionária                         ,Contato não disponível
UNIDAS ALUGUEL DE CARROS                                                                       ,"4,1"                              ,(336)                                   ,"AV. SEN. JÚLIO CÉSAR LEITE, BOX N° 13 - AEROPORTO, ARACAJU - SE, 49035-580"                                                                                          ,Agência de aluguel de carros           ,(79) 3512-0134
NOSSA SENHORA APARECIDA VEÍCULOS                                                               ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 810 - CENTRO, ARACAJU - SE, 49060-000"                                                                                                          ,Revendedora de carros usados           ,(79) 99612-5661
FIAT REVEMAR                                                                                   ,"4,4"                              ,(67)                                    ,"AV. OVIEDO TEIXEIRA, 959 - JARDINS, ARACAJU - SE, 49026-100"                                                                                                         ,Concessionária                         ,(79) 3024-7300
JBM AUTOMÓVEIS                                                                                 ,"4,7"                              ,(3)                                     ,"AV. PEDRO CALAZANS, 43 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,Concessionária                         ,(79) 99903-0213
SERTANEJO VEÍCULOS                                                                             ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. PEDRO CALAZANS, 243 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Concessionária                         ,(79) 99986-6599
