NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
GT AUTOMÓVEIS ARACAJU                                                                          ,"5,0"                              ,(11)                                    ,"AV. CARLOS BURLAMARQUI, 716 - CENTRO, ARACAJU - SE, 49055-150"                                                                                                       ,Revendedora de carros usados           ,Contato não disponível
CLASSE A AUTOMÓVEIS                                                                            ,"4,3"                              ,(11)                                    ,"AV. COELHO E CAMPOS, 784 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Concessionária                         ,Contato não disponível
MGM AUTOMÓVEIS                                                                                 ,"4,9"                              ,(13)                                    ,"AV. PEDRO CALAZANS, 621 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Revendedora de carros usados           ,Contato não disponível
UNIĀO VEÍCULOS                                                                                 ,"4,3"                              ,(6)                                     ,"R. BASÍLIO ROCHA - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                          ,Concessionária                         ,Contato não disponível
JONATAS AUTOMOVEIS                                                                             ,"4,9"                              ,(14)                                    ,"AV. CARLOS BURLAMARQUI, 759 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Concessionária de veículos motorizados ,(79) 99991-7782
MARDISA AUTOMÓVEIS MERCEDES-BENZ - ARACAJU SE                                                  ,"4,9"                              ,(152)                                   ,"AV. PRES. TANCREDO NEVES, 5033 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,Concessionária Mercedes-Benz           ,Contato não disponível
HYUNDAI HMB TERRA SANTA ARACAJU SE                                                             ,"4,9"                              ,(1.853)                                 ,"AV. MINISTRO GERALDO BARRETO SOBRAL, 246 - GRAGERU, ARACAJU - SE, 49026-010"                                                                                         ,Concessionária Hyundai                 ,"3W5Q+5M Grageru, Aracaju - SE"
ULTRA VEICULOS                                                                                 ,"4,9"                              ,(11)                                    ,"AV. COELHO E CAMPOS, 741 - 18 DO FORTE, ARACAJU - SE, 49060-000"                                                                                                     ,Concessionária                         ,Contato não disponível
ZECA AUTOMÓVEIS                                                                                ,"4,8"                              ,(13)                                    ,"AV. COELHO E CAMPOS, 1187 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,Concessionária                         ,Contato não disponível
AUTOS AJU SEMINOVOS                                                                            ,"4,3"                              ,(9)                                     ,"AV. PEDRO CALAZANS, 107 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Revendedora de carros usados           ,"3WVV+22 Centro, Aracaju - SE"
GALEGUINHO VEÍCULOS                                                                            ,"4,3"                              ,(3)                                     ,"AV. CARLOS BURLAMARQUI, 1047 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                              ,Revendedora de carros usados           ,Contato não disponível
GIVALDO VEÍCULOS                                                                               ,"4,7"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 1139 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,Concessionária                         ,Contato não disponível
SANVEL NISSAN                                                                                  ,"4,5"                              ,(637)                                   ,"AV. PRES. TANCREDO NEVES, 640 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                    ,Concessionária Nissan                  ,(79) 3215-4900
ARACAJU MULTIMARCAS                                                                            ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 910 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
"AUDI CENTER: CONCESSIONÁRIA, CARROS, SEMINOVOS EM ARACAJU SE"                                 ,"4,6"                              ,(90)                                    ,"AV. PRES. TANCREDO NEVES, 1254 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária Audi                    ,"2WXP+G8 Jardins, Aracaju - SE"
LEOCAR VEÍCULOS                                                                                ,"5,0"                              ,(3)                                     ,"AV. DES. MAYNARD, 692 - CIRURGIA, ARACAJU - SE, 49055-210"                                                                                                           ,Revendedora de carros usados           ,Contato não disponível
JOAO FAZ MULTIMARCAS- LOJA DE CARROS-ARACAJU                                                   ,"1,8"                              ,(15)                                    ,"AV. AUGUSTO FRANCO, 1075 - GETÚLIO VARGAS, ARACAJU - SE, 49055-080"                                                                                                  ,Agente comercial de carros             ,Contato não disponível
"SAMAM JEEP RIOMAR: CARROS NOVOS, COMPASS, RENEGADE, TROCA DE ÓLEO, ARACAJU SE"                ,"4,6"                              ,(32)                                    ,"AV. DELMIRO GOUVEIA, 600 - COROA DO MEIO, ARACAJU - SE, 49035-660"                                                                                                   ,Concessionária Jeep                    ,Contato não disponível
GARAGEM AJU AUTOMOVEIS                                                                         ,"4,8"                              ,(13)                                    ,"R. LARANJEIRAS, 1551 - GETÚLIO VARGAS, ARACAJU - SE, 49055-380"                                                                                                      ,Revendedora de carros usados           ,Contato não disponível
VIA CAR AUTOMÓVEIS                                                                             ,"5,0"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 1197 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,Concessionária                         ,Contato não disponível
CRED - CAR VEÍCULOS                                                                            ,"4,3"                              ,(39)                                    ,"AV. COELHO E CAMPOS, 1150 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,Concessionária                         ,Contato não disponível
ROGÉRIO VEÍCULOS                                                                               ,"5,0"                              ,(9)                                     ,"AV. PEDRO CALAZANS, 716 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
"TOYOLEX TOYOTA - ARACAJU SE: CONCESSIONÁRIA, CARROS NOVOS E SEMINOVOS"                        ,"4,5"                              ,(1.951)                                 ,"AV. PRES. TANCREDO NEVES, 5121 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,Concessionária Toyota                  ,Contato não disponível
SAMAM VEÍCULOS - JEEP                                                                          ,"4,6"                              ,(105)                                   ,"R. BASÍLIO ROCHA, 89 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,Concessionária Jeep                    ,(79) 3512-0385
GAMA PEUGEOT                                                                                   ,"4,3"                              ,(296)                                   ,"AV. PRES. TANCREDO NEVES, 3402 - PONTO NOVO, ARACAJU - SE, 49095-000"                                                                                                ,Concessionária Peugeot                 ,"3W69+8P Ponto Novo, Aracaju - SE"
"RENOVEL RENAULT, SUA CONCESSIONÁRIA RENAULT EM SERGIPE"                                       ,"4,6"                              ,(1.744)                                 ,"AV. PRES. TANCREDO NEVES, 600 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                    ,Concessionária da Renault              ,(79) 3025-9898
SERIGY AUTOMÓVEIS                                                                              ,"4,0"                              ,(4)                                     ,"AV. PRES. TANCREDO NEVES, 1016 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,Concessionária                         ,Contato não disponível
CARVEL MULTIMARCAS                                                                             ,"4,8"                              ,(15)                                    ,"AV. PEDRO CALAZANS, N°50 - CENTRO, ARACAJU - SE, 49055-520"                                                                                                          ,Concessionária de veículos motorizados ,Contato não disponível
